big,big_st,big_end,peas,peas_st,peas_end,toy,toy_st,toy_end,speakerID,native_language,birth_place,birth_country,other_languages,age,sex,english_onset_age,english_method,english_residence,english_residence_length,sound_file_no,L2_igbo,L2_swahili,L2_fijian,L2_antigua,L2_creole,L2_american,L2_gaelic,L2_vietnamese,L2_dutch,L2_none,L2_min,L2_french,L2_japanese,L2_esperanto,L2_yiddish,L2_appolo,L2_baoule,L2_arabic,L2_english,"L2_greek,",L2_hindi-urdu,L2_italian,L2_wolof,L2_tamil,L2_asl,L2_ulster,L2_polish,L2_ga,L2_twi,L2_hakka,L2_russian,L2_banganthe,L2_bassa,L2_welsh,L2_malay,L2_mina,L2_indonesian,L2_farsi,L2_irish,L2_chinese,L2_patois,L2_haitian,L2_german,L2_pidgin,L2_maori,L2_sign,L2_maltese,L2_hebrew,L2_tagalog,L2_slovenian,L2_tshiluba,L2_zulu,L2_hokkien,L2_lingala,L2_tok,L2_grebo,L2_hainanese,L2_losso,L2_urdu,L2_dong,L2_taiwanese,L2_pulaar,L2_kikongo,L2_norwegian,L2_spanish,L2_krio,L2_korean,L2_ancient,L2_bambara,L2_latin,L2_mongolian,L2_scots,L2_ewe,L2_afrikaans,L2_swedish,L2_danish,L2_yoruba,L2_azerbaijani,L2_finnish,L2_hindi,L2_kabye,L2_tongan,L2_cotocoli,L2_moore,L2_and,L2_punjabi,L2_mandarin,L2_cantonese,L2_language,L2_songhay,L2_koine,L2_thai,L2_greek,L2_barbuda,L2_pisin,L2_portuguese
,,,,,,,,,speakerID_773,english  (eng),"camberley, surrey, uk",uk,none,42,female,0,naturalistic,"uk, usa",42,english227.mp3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_774,english  (eng),"glasgow, scotland, uk",uk,french german krio,59,female,0,naturalistic,"scotland, usa, sierra leone",59,english228.mp3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_775,english  (eng),"burlington, vermont, usa",usa,french,25,male,0,naturalistic,usa,25,english229.mp3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_776,english  (eng),"launceston, tasmania, australia",australia,none,35,male,0,naturalistic,australia,35,english230.mp3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_791,english  (eng),"tampa, florida, usa",usa,spanish,22,male,0,naturalistic,usa,22,english231.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_798,english  (eng),"metairie, louisiana, usa",usa,italian spanish,32,female,0,naturalistic,usa,32,english232.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_793,english  (eng),"edmonton, alberta, canada",canada,french,26,female,0,naturalistic,canada,26,english233.mp3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_794,english  (eng),"bloomington, indiana, usa",usa,portuguese spanish american sign language,49,male,0,naturalistic,usa,49,english234.mp3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,,,,,,,speakerID_795,english  (eng),"richmond, virginia, usa",usa,spanish,52,female,0,naturalistic,usa,52,english235.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,speakerID_799,english  (eng),"st. charles, illinois, usa",usa,german french,44,male,0,naturalistic,usa,34,english236.mp3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
